bear_std_return,seed,comparison,accuracy_diff,macro_f1_diff,bear_f1_diff,bull_f1_diff
0.014,7,PELT vs HMM,-0.10828547990155868,-0.034363865024367835,0.0920484772506785,-0.16077620729941433
0.014,8,PELT vs GMM,-0.033634126333059844,-0.03434138630568706,-0.04148761416650237,-0.027195158444871748
0.014,8,PELT vs HMM,-0.025430680885972112,-0.024031486988198902,-0.026446026132672773,-0.021616947843725143
0.014,9,PELT vs GMM,-0.2050861361771944,-0.18995132075348664,0.07707977993692278,-0.45698242144389606
0.014,9,PELT vs HMM,-0.5348646431501229,-0.529267753118924,-0.32219194401012585,-0.7363435622277221
0.018,0,PELT vs GMM,-0.17637407711238717,-0.21646777852059151,-0.3103991851384779,-0.12253637190270517
0.018,0,PELT vs HMM,-0.08203445447087776,-0.10990884521796429,-0.1676961903617354,-0.05212150007419325
0.018,1,PELT vs GMM,0.07301066447908122,0.07193863133216283,0.04234116196294946,0.1015361007013762
0.018,1,PELT vs HMM,-0.0914684167350287,-0.08612251202254695,-0.06327684607441342,-0.10896817797068059
0.018,2,PELT vs GMM,-0.21862182116488926,-0.30751972015062345,-0.4766176337875643,-0.13842180651368285
0.018,2,PELT vs HMM,0.30680885972108285,0.2663687991476437,0.2647574123989218,0.2679801858963655
0.018,3,PELT vs GMM,-0.31214109926169,-0.24934947965809723,0.07542498890656346,-0.5741239482227579
0.018,3,PELT vs HMM,-0.1251025430680886,-0.143650478892208,0.04929199494816777,-0.3365929527325837
0.018,4,PELT vs GMM,-0.1119770303527482,-0.03353837425225409,0.09860004368927429,-0.1656767921937825
0.018,4,PELT vs HMM,-0.17801476620180473,-0.14225256685932747,-0.08866450850418786,-0.1958406252144671
0.018,5,PELT vs GMM,0.21944216570959807,-0.10135464925486026,-0.5146248410343366,0.31191554252461606
0.018,5,PELT vs HMM,0.2776866283839212,0.10780230837649601,0.0,0.21560461675299203
0.018,6,PELT vs GMM,-0.008613617719442246,-0.008407798705504899,-0.00890093770017275,-0.007914659710837157
