bear_vix_mean,seed,model,accuracy,macro_f1,bear_f1,bull_f1
30.0,6,GMM,0.7641509433962265,0.7161002747155383,0.5993031358885017,0.8328974135425748
30.0,6,Changepoint,0.8400328137817884,0.8313891834570519,0.7932131495227995,0.8695652173913043
30.0,7,HMM,0.7022149302707137,0.6759574150233751,0.5837155963302753,0.7681992337164751
30.0,7,GMM,0.6230516817063166,0.6058723996057531,0.5235873509590462,0.6881574482524602
30.0,7,Changepoint,0.583264971287941,0.5781676492927477,0.5317972350230414,0.6245380635624538
30.0,8,HMM,0.854388843314192,0.8266669256846135,0.7573479152426521,0.8959859361265748
30.0,8,GMM,0.8613617719442166,0.8355427438307873,0.7703804347826086,0.900705052878966
30.0,8,Changepoint,0.8264971287940935,0.8004378364539775,0.7283236994219653,0.8725519734859898
30.0,9,HMM,0.6776045939294504,0.6554664576261435,0.5681318681318681,0.7428010471204188
30.0,9,GMM,0.677194421657096,0.6003597521642513,0.42512783053323594,0.7755916737952666
30.0,9,Changepoint,0.15627563576702214,0.13757559592382618,0.2645691812656418,0.010582010582010581
40.0,0,HMM,0.6111566858080394,0.5685671021271258,0.43301435406698563,0.704119850187266
40.0,0,GMM,0.5299425758818704,0.4732220630923534,0.30036630036630035,0.6460778258184064
40.0,0,Changepoint,0.5668580803937654,0.48698230511716883,0.2845528455284553,0.6894117647058824
40.0,1,HMM,0.6222313371616078,0.6205766786759477,0.5955204216073782,0.6456329357445171
40.0,1,GMM,0.5430680885972108,0.5429893552219317,0.5489878542510122,0.5369908561928513
40.0,1,Changepoint,0.6123872026251025,0.6111593524132606,0.5893089960886571,0.6330097087378641
40.0,2,HMM,0.34618539786710417,0.2749879294377693,0.04778972520908005,0.5021861336664585
40.0,2,GMM,0.1509433962264151,0.13841412447280435,0.03451492537313433,0.24231332357247437
40.0,2,Changepoint,0.6632485643970467,0.5495162403653747,0.3231657048639736,0.7758667758667759
40.0,3,HMM,0.4827727645611157,0.47550437389906125,0.41376104137610414,0.5372477064220184
40.0,3,GMM,0.6669401148482362,0.5790516725184398,0.3867069486404834,0.7713963963963963
40.0,3,Changepoint,0.3527481542247744,0.32732103690606745,0.4581043956043956,0.19653767820773932
40.0,4,HMM,0.6812961443806399,0.6645321906014696,0.589540412044374,0.7395239691585652
40.0,4,GMM,0.4807219031993437,0.46650418982825853,0.37941176470588234,0.5535966149506347
40.0,4,Changepoint,0.34331419196062346,0.3200458570880331,0.19426270759939607,0.44582900657667013
40.0,5,HMM,0.47949138638228056,0.32409204324923757,0.0,0.6481840864984751
40.0,5,GMM,0.48195242001640687,0.32797375792647465,0.006294256490952006,0.6496532593619972
40.0,5,Changepoint,0.8018867924528302,0.6516775063205431,0.4229390681003584,0.8804159445407279
40.0,6,HMM,0.7768662838392125,0.720350826588128,0.5946348733233979,0.8460667798528579
40.0,6,GMM,0.7641509433962265,0.7161002747155383,0.5993031358885017,0.8328974135425748
